steps,update,episodes,ev_p0,ev_p1
0,0,0,-0.597,-0.922
25600,50,3327,-0.66,-0.927
51200,100,6667,-0.635,-0.915
76800,150,10017,-0.618,-0.931
102400,200,13370,-0.588,-0.936
128000,250,16711,-0.622,-0.939
153600,300,20054,-0.599,-0.91
179200,350,23430,-0.607,-0.919
204800,400,26799,-0.602,-0.901
230400,450,30152,-0.529,-0.922
256000,500,33534,-0.457,-0.892
281600,550,36942,-0.541,-0.902
307200,600,40402,-0.563,-0.894
332800,650,43898,-0.538,-0.938
358400,700,47443,-0.576,-0.914
384000,750,51029,-0.618,-0.893
409600,800,54694,-0.649,-0.89
